Iterations;Energies;cond(Ai);cond(Ai-1 @ Ai)
26;505;551.093191642504;1.4679605972361771
27;505;551.0931916398639;1.467960607262941
28;505;551.0931916370464;1.4679606126528215
29;505;551.0931916347986;1.4679606155536031
30;505;551.0931916331435;1.4679606171135142
31;505;551.0931916320743;1.4679606179534603
1;506;553.094383604447;1.2179621761389343
2;506;552.3253423561623;1.3415787989830152
3;506;551.9112790553565;1.405817227897951
4;506;551.7289178952767;1.438729828578715
5;506;551.6348339101137;1.454841814219565
6;506;551.5977779750187;1.4628541776294264
7;506;551.5711012827891;1.466772974665177
8;506;551.5579558182566;1.4686711480573473
9;506;551.5519952468795;1.4695954127858764
10;506;551.5495349205231;1.4700580928099845
11;506;551.5483918098939;1.4703008178994161
12;506;551.5476656786246;1.4704321058308694
13;506;551.5472193050297;1.4705028529791861
14;506;551.5469950853106;1.470540359058906
15;506;551.5468998260601;1.470560041683905
16;506;551.5468642313311;1.470570347786825
17;506;551.5468525261902;1.4705757559190826
18;506;551.546849354507;1.4705786046189557
19;506;551.5468488560895;1.4705801111761219
20;506;551.5468490188746;1.4705809108284815
21;506;551.5468492437024;1.4705813365781846
22;506;551.5468493989839;1.4705815638306368
23;506;551.5468494850298;1.470581685375862
24;506;551.54684952625;1.4705817504910452
25;506;551.5468495431;1.4705817854165146
26;506;551.5468495484535;1.4705818041689735
27;506;551.5468495489444;1.4705818142446465
28;506;551.5468495477725;1.4705818196611775
29;506;551.5468495463223;1.4705818225757796
30;506;551.5468495451988;1.4705818241426825
31;506;551.5468495442608;1.4705818249874192
1;507;553.5934852075198;1.2190570872049353
2;507;552.7919970969843;1.3434081319265507
3;507;552.3721744801137;1.4080649826603704
4;507;552.1898514248641;1.4411919717700934
5;507;552.0965094219788;1.45741891727999
6;507;552.0599918309696;1.465484399850366
7;507;552.0334527581659;1.4694310829642696
8;507;552.0203498004128;1.4713429110306244
9;507;552.0144200117279;1.4722737362386362
10;507;552.0119853885559;1.4727394957764608
11;507;552.0108631939377;1.4729836955320814
12;507;552.0101535567553;1.4731157492038356
13;507;552.0097192246426;1.4731869111513838
14;507;552.0095030215983;1.473224638648551
15;507;552.0094127247901;1.4732444371049809
16;507;552.0093800503876;1.4732548032904027
17;507;552.0093700062358;1.4732602425915275
18;507;552.0093677574125;1.4732631075288212
19;507;552.0093677637988;1.4732646225870882
20;507;552.0093681995404;1.4732654267128498
21;507;552.0093685708763;1.4732658548279538
22;507;552.0093688044001;1.4732660833352809
23;507;552.0093689319735;1.4732662055493533
24;507;552.0093689952093;1.4732662710201103
25;507;552.0093690237707;1.4732663061363398
26;507;552.009369035305;1.473266324990402
27;507;552.009369039061;1.4732663351209516
28;507;552.0093690396318;1.473266340566669
29;507;552.0093690391743;1.4732663434967628
30;507;552.0093690383974;1.4732663450722852
31;507;552.0093690377901;1.4732663459209692
1;508;554.0833243121165;1.2201784583132014
2;508;553.2577974700306;1.3452778559956937
3;508;552.8368291389748;1.41036023535282
4;508;552.656739328325;1.4437051214975714
5;508;552.5652495223319;1.4600487602177752
6;508;552.529771803279;1.4681680967459145
7;508;552.5036792507333;1.4721430869092085
8;508;552.4907711451699;1.4740687797509715
9;508;552.4849431789256;1.4750062761790965
10;508;552.4825657506757;1.475475182545984
11;508;552.4814794695478;1.475720904295948
12;508;552.4807947844155;1.475853757112647
13;508;552.4803771873508;1.4759253552439944
14;508;552.4801712757126;1.4759633166660013
15;508;552.4800869189869;1.4759832379165727
16;508;552.4800575504698;1.475993667984796
17;508;552.480049309376;1.475999140521278
18;508;552.4800480324849;1.4760020228173758
19;508;552.4800485591192;1.476003546989684
20;508;552.4800492723417;1.4760043559239997
21;508;552.4800497911981;1.4760047865880999
22;508;552.4800501030691;1.4760050164502259
23;508;552.48005027224;1.476005139386042
24;508;552.480050357513;1.4760052052430879
25;508;552.480050397842;1.4760052405668587
26;508;552.4800504155609;1.4760052595317814
27;508;552.48005042256;1.4760052697219201
28;508;552.4800504249932;1.4760052751997377
29;508;552.4800504254397;1.4760052781467639
30;508;552.4800504251691;1.476005279731792
31;508;552.480050424835;1.4760052805853465
1;509;554.5624488339407;1.2213223240385656
2;509;553.7218007118203;1.3471815272728371
3;509;553.3044830033971;1.4126951797333767
4;509;553.1288894658345;1.4462607817599515
5;509;553.0403874089594;1.4627224734824686
6;509;553.0064638796922;1.4708962337561806
7;509;552.9811343753181;1.47489986443049
8;509;552.968577420859;1.4768395892511577
9;509;552.962924243729;1.4777838470259181
